model,policy,label,metric,bootstrap_mean,ci_low,ci_high,n_boot,scope
densenet121-res224-pc,u0,Edema,auroc,0.7357395416314829,0.5483670444047477,0.8921746578161779,500,common_labels
densenet121-res224-pc,u0,Edema,auprc_ap,0.0021029756612646793,0.0005155930117309727,0.0049068400958999624,500,common_labels
densenet121-res224-pc,u0,Pleural Effusion,auroc,0.7305703357102812,0.7059965959282624,0.7544674061592366,500,common_labels
densenet121-res224-pc,u0,Pleural Effusion,auprc_ap,0.11207209870223271,0.08458339449407719,0.14566942872350513,500,common_labels
densenet121-res224-pc,u0,Pneumonia,auroc,0.797567472767832,0.768921136137165,0.8219768008549063,500,common_labels
densenet121-res224-pc,u0,Pneumonia,auprc_ap,0.09895084551298537,0.06988500760456413,0.1353347087682038,500,common_labels
densenet121-res224-pc,u0,Pneumothorax,auroc,0.7279121461414109,0.5979920122459818,0.8351317639170973,500,common_labels
densenet121-res224-pc,u0,Pneumothorax,auprc_ap,0.005851746031592702,0.0021858596150194976,0.011270057935509161,500,common_labels
resnet50-res512-all,u0,Atelectasis,auroc,0.7044855146290456,0.6915362814962176,0.7187478495754215,500,common_labels
resnet50-res512-all,u0,Atelectasis,auprc_ap,0.12080615616157689,0.11072485516742828,0.13344209504932417,500,common_labels
resnet50-res512-all,u0,Cardiomegaly,auroc,0.8500236957508187,0.8405424712929671,0.8596711570426904,500,common_labels
resnet50-res512-all,u0,Cardiomegaly,auprc_ap,0.30774613702693676,0.2810072963782969,0.33468596962013897,500,common_labels
resnet50-res512-all,u0,Consolidation,auroc,0.6974785694327594,0.6805850069568495,0.714454819825822,500,common_labels
resnet50-res512-all,u0,Consolidation,auprc_ap,0.10493742532053538,0.09557827743767262,0.11603791354937265,500,common_labels
resnet50-res512-all,u0,Edema,auroc,0.6227141038538083,0.429514572017839,0.7954113772309113,500,common_labels
resnet50-res512-all,u0,Edema,auprc_ap,0.0009668488417382671,0.0003428772964571959,0.0019395121438491553,500,common_labels
resnet50-res512-all,u0,Pleural Effusion,auroc,0.8217095718040076,0.8001656401744458,0.8410314790871947,500,common_labels
resnet50-res512-all,u0,Pleural Effusion,auprc_ap,0.1871982456166589,0.15099181628397193,0.2279587053536758,500,common_labels
resnet50-res512-all,u0,Pneumonia,auroc,0.7398614477846243,0.709317153497879,0.7681982301052149,500,common_labels
resnet50-res512-all,u0,Pneumonia,auprc_ap,0.037222510466477475,0.02729996034684833,0.05157126829853439,500,common_labels
resnet50-res512-all,u0,Pneumothorax,auroc,0.6855013610070236,0.5624822631129847,0.8053080687944182,500,common_labels
resnet50-res512-all,u0,Pneumothorax,auprc_ap,0.006497951697527413,0.0021467261290319378,0.01484592644263542,500,common_labels
densenet121-res224-all,ignore_uncertain,Atelectasis,auroc,0.7114015236638075,0.6969073787208766,0.7250352538870121,500,common_labels
densenet121-res224-all,ignore_uncertain,Atelectasis,auprc_ap,0.12190930087371595,0.11267912546621463,0.13199073947150372,500,common_labels
densenet121-res224-all,ignore_uncertain,Cardiomegaly,auroc,0.8439490989264884,0.8335077873717581,0.854433101867308,500,common_labels
densenet121-res224-all,ignore_uncertain,Cardiomegaly,auprc_ap,0.28354625282742835,0.25896879098832365,0.3077131032413996,500,common_labels
densenet121-res224-all,ignore_uncertain,Consolidation,auroc,0.628899941995584,0.613373885866016,0.6459815305604433,500,common_labels
densenet121-res224-all,ignore_uncertain,Consolidation,auprc_ap,0.07608919143631294,0.06945032225089066,0.08301257813450709,500,common_labels
densenet121-res224-all,ignore_uncertain,Edema,auroc,0.7182302094896672,0.5300904417946699,0.8533443372509107,500,common_labels
densenet121-res224-all,ignore_uncertain,Edema,auprc_ap,0.001440985131892793,0.00047212192252370336,0.0032075307475213526,500,common_labels
densenet121-res224-all,ignore_uncertain,Pleural Effusion,auroc,0.8084072396669583,0.7862474652362206,0.8289008982888231,500,common_labels
