model,policy,label,n,pos,neg,prevalence,auroc,auprc_ap,brier,ece_10bin,degenerate,in_common_set
densenet121-res224-nih,ignore_uncertain,Edema,18424,9,18415,0.0004884932696482848,0.490656771351857,0.0005311294901161534,0.06379879395099154,0.144658554984601,False,True
densenet121-res224-nih,ignore_uncertain,Consolidation,18424,1033,17391,0.056068171949630916,0.5357888934885984,0.063284822270426,0.18100955180735467,0.3095263245933147,False,True
densenet121-res224-nih,ignore_uncertain,Pneumonia,18424,240,18184,0.013026487190620929,0.6404578429755097,0.02130735561289533,0.1010664035196581,0.21897089646739545,False,True
densenet121-res224-nih,ignore_uncertain,Atelectasis,18424,1217,17207,0.06605514546244029,0.6869834127145995,0.11178499234547551,0.12424901187194991,0.167440714182257,False,True
densenet121-res224-nih,ignore_uncertain,Pneumothorax,18424,32,18392,0.0017368649587494573,0.7089707821335363,0.004426605735542472,0.13906237174007494,0.305418742482833,False,True
densenet121-res224-nih,ignore_uncertain,Pleural Effusion,18424,501,17923,0.02719279201042119,0.7278577365160324,0.08078276546933538,0.0838352014318428,0.1424099604901189,False,True
densenet121-res224-pc,ignore_uncertain,Cardiomegaly,18424,1437,16987,0.07799609205384281,0.8240391491811311,0.23794077062682714,0.11475469230390445,0.15088559540615232,False,True
densenet121-res224-pc,ignore_uncertain,Edema,18424,9,18415,0.0004884932696482848,0.7328989048782696,0.0016163356492964204,0.04603348260944559,0.10421482467344755,False,True
densenet121-res224-pc,ignore_uncertain,Consolidation,18424,1033,17391,0.056068171949630916,0.6668808064257291,0.1150778562004988,0.131247914473489,0.2138708546546597,False,True
densenet121-res224-pc,ignore_uncertain,Pneumonia,18424,240,18184,0.013026487190620929,0.7972292491567678,0.0949995870767517,0.1806521159298493,0.3576627659466458,False,True
densenet121-res224-pc,ignore_uncertain,Atelectasis,18424,1217,17207,0.06605514546244029,0.7072221137954834,0.137043843329287,0.17100008050863505,0.29940827334040926,False,True
densenet121-res224-pc,ignore_uncertain,Pneumothorax,18424,32,18392,0.0017368649587494573,0.7290669856459331,0.005304940169176529,0.15935869957394558,0.34713626398793634,False,True
densenet121-res224-pc,ignore_uncertain,Pleural Effusion,18424,501,17923,0.02719279201042119,0.7307376543013955,0.10934318805679061,0.12200335473549938,0.2021286123818981,False,True
densenet121-res224-pc,ignore_uncertain,Fracture,18424,239,18185,0.01297221016066001,0.5590664520738158,0.01605678717927396,0.13166246586716593,0.30306053999851823,False,False
resnet50-res512-all,ignore_uncertain,Enlarged Cardiomediastinum,18423,24,18399,0.0013027194268034523,,,,,True,False
resnet50-res512-all,ignore_uncertain,Cardiomegaly,18424,1437,16987,0.07799609205384281,0.849599179756725,0.3064335434976733,0.06776237760849024,0.05428283726645929,False,True
resnet50-res512-all,ignore_uncertain,Lung Lesion,18416,543,17873,0.02948523023457863,,,,,True,False
resnet50-res512-all,ignore_uncertain,Lung Opacity,18417,1407,17010,0.07639680729760548,0.6334769212641754,0.11460875601931633,0.09363776220332204,0.09107645896294332,False,False
resnet50-res512-all,ignore_uncertain,Edema,18424,9,18415,0.0004884932696482848,0.6267535523576794,0.0008111531194295422,0.0008618152931452466,0.004876278895891337,False,True
resnet50-res512-all,ignore_uncertain,Consolidation,18424,1033,17391,0.056068171949630916,0.697288095571682,0.1042910814758668,0.05397157355565497,0.03920388177575489,False,True
resnet50-res512-all,ignore_uncertain,Pneumonia,18424,240,18184,0.013026487190620929,0.7401334964804223,0.03542309407690504,0.023604774987745082,0.038937080849763946,False,True
resnet50-res512-all,ignore_uncertain,Atelectasis,18424,1217,17207,0.06605514546244029,0.7039613208952291,0.1200000794438108,0.06218125445483592,0.03058671828189752,False,True
resnet50-res512-all,ignore_uncertain,Pneumothorax,18424,32,18392,0.0017368649587494573,0.6915115947150936,0.005421990578574595,0.0027874498409652814,0.01051602465325852,False,True
resnet50-res512-all,ignore_uncertain,Pleural Effusion,18424,501,17923,0.02719279201042119,0.8229370639962056,0.18746681454995878,0.027534673391287432,0.019907292861856798,False,True
resnet50-res512-all,ignore_uncertain,Fracture,18424,239,18185,0.01297221016066001,0.6766586558649307,0.07830682348895356,0.01536136862995476,0.014986046633919885,False,False
